བྲལ་བ  -ར  དགོངས་པ་ཅན 	ཐུགས 	བརྩེ་བ 	།_། 	ཕྲད་དང 	བྲལ་བ 	-ར 	དགོངས་པ་ཅན 	།_། 	མི 	འབྲལ 	དགོངས་ཤིང 	bstod tshogs ka_.txt	ཐུགས  བརྩེ་བ  །_།  ཕྲད་དང  བྲལ་བ  -ར  དགོངས་པ་ཅན  །_།  མི  འབྲལ  དགོངས་ཤིང 
ངེས་པ  -ར ་གྲོལ 	འཚལ་ལོ 	།_། 	སྒྲིབ་པ 	ཀུན་ལས 	ངེས་པ 	-ར	་གྲོལ 	།_། 	ཐུབ་པ 	-ས 	འཇིག་རྟེན 	bstod tshogs ka_.txt	འཚལ་ལོ  །_།  སྒྲིབ་པ  ཀུན་ལས  ངེས་པ  -ར ་གྲོལ  །_།  ཐུབ་པ  -ས  འཇིག་རྟེན 
རྟོགས་པ  -ར ་འགྱུར 	།_། 	སྐྱེས 	བུ 	མཆོག་ཏུ 	རྟོགས་པ 	-ར	་འགྱུར 	།_། 	མཐོང་བ 	ཙམ་གྱིས 	དད 	bstod tshogs ka_.txt	།_།  སྐྱེས  བུ  མཆོག་ཏུ  རྟོགས་པ  -ར ་འགྱུར  །_།  མཐོང་བ  ཙམ་གྱིས  དད 
རྟག་པ  -ར ་ཡང 	།_། 	གཤེགས 	བཞུགས 	ཀུན་དུ 	རྟག་པ 	-ར	་ཡང 	།_། 	ཀུན 	མཁྱེན 	མ 	bstod tshogs ka_.txt	།_།  གཤེགས  བཞུགས  ཀུན་དུ  རྟག་པ  -ར ་ཡང  །_།  ཀུན  མཁྱེན  མ 
རྫོགས་པ  -ར ་ནི 	ཡོན་ཏན་དྲུག 	ལྡན 	སྐུ་གསུམ་པོ་ནི 	ཡོངས་སུ 	རྫོགས་པ 	-ར	་ནི 	།_། 	བདག 	སོགས 	འགྲོ་བ 	bstod tshogs ka_.txt	ཡོན་ཏན་དྲུག  ལྡན  སྐུ་གསུམ་པོ་ནི  ཡོངས་སུ  རྫོགས་པ  -ར ་ནི  །_།  བདག  སོགས  འགྲོ་བ 
 -ར ་ཤོག 	རྣམས་ཀྱིས་མྱུར་དུ 	རྟོགས་པ 				-ར	་ཤོག 	_། 	ཆོས་ཀྱི 	སྐུ་ལ 	གནས་པ 	bstod tshogs ka_.txt	རྣམས་ཀྱིས་མྱུར་དུ  རྟོགས་པ     -ར ་ཤོག  _།  ཆོས་ཀྱི  སྐུ་ལ  གནས་པ 
རྒྱུ  -ར  གྱུར་པ 	།_། 	གང་ཞིག 	འཁོར་བ 	-འི 	རྒྱུ 	-ར 	གྱུར་པ 	།_། 	དེ 	ཉིད 	སྦྱང་བ 	bstod tshogs ka_.txt	།_།  གང་ཞིག  འཁོར་བ  -འི  རྒྱུ  -ར  གྱུར་པ  །_།  དེ  ཉིད  སྦྱང་བ 
སྣང་བ  -ར  མི 	མར་མེ་བུམ 	ནང་གནས 	།_། 	ཅུང་ཞིག 	སྣང་བ 	-ར 	མི 	འགྱུར་བ 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	མར་མེ་བུམ  ནང་གནས  །_།  ཅུང་ཞིག  སྣང་བ  -ར  མི  འགྱུར་བ  །_།  དེ  བཞིན 
འབྱུང་བ  -ར ་འགྱུར 	ཉིད་ནས 	།_། 	འོད་ཀྱི 	རང་བཞིན 	འབྱུང་བ 	-ར	་འགྱུར 	།_། 	གང 	ཚེ 	ཏིང་འཛིན 	bstod tshogs ka_.txt	ཉིད་ནས  །_།  འོད་ཀྱི  རང་བཞིན  འབྱུང་བ  -ར ་འགྱུར  །_།  གང  ཚེ  ཏིང་འཛིན 
སྣང་བ  -ར ་བྱེད 	།_། 	མཐར 	ཐུག 	བར་དུ 	སྣང་བ 	-ར	་བྱེད 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ནི 	སྐྱེ 	bstod tshogs ka_.txt	།_།  མཐར  ཐུག  བར་དུ  སྣང་བ  -ར ་བྱེད  །_།  ཆོས་ཀྱི  དབྱིངས་ནི  སྐྱེ 
 -ར  འགྱུར་བ་མེད 	མ་ཡིན 	།_། 	ནམ་ཡང 	འགག་པ 		-ར 	འགྱུར་བ་མེད 	།_། 	དུས 	རྣམས 	ཀུན་དུ 	bstod tshogs ka_.txt	མ་ཡིན  །_།  ནམ་ཡང  འགག་པ   -ར  འགྱུར་བ་མེད  །_།  དུས  རྣམས  ཀུན་དུ 
མཐའ  -ར  དྲི་མ་བྲལ 	།_། 	ཐོག 	མ 	བར 	མཐའ 	-ར 	དྲི་མ་བྲལ 	།_། 	ཇི 	ལྟར 	རིན་ཆེན་བཻཌཱུརྱ 	bstod tshogs ka_.txt	།_།  ཐོག  མ  བར  མཐའ  -ར  དྲི་མ་བྲལ  །_།  ཇི  ལྟར  རིན་ཆེན་བཻཌཱུརྱ 
འཁོར་བ  -ར  འོད་ནི 	ཤིན་ཏུ 	དྲི་མེད་པ 	-འང 	_།_། 	འཁོར་བ 	-ར 	འོད་ནི 	གསལ 	མ་ཡིན 	།_། 	མྱ་ངན 	bstod tshogs ka_.txt	ཤིན་ཏུ  དྲི་མེད་པ  -འང  _།_།  འཁོར་བ  -ར  འོད་ནི  གསལ  མ་ཡིན  །_།  མྱ་ངན 
མཐོང་བ  -ར ་འགྱུར 	ས 	ལེ 	སྦྲམ 	དག 	མཐོང་བ 	-ར	་འགྱུར 	།_། 	ཁམས 	མེད་ན 	ནི་ལ 	bstod tshogs ka_.txt	ས  ལེ  སྦྲམ  དག  མཐོང་བ  -ར ་འགྱུར  །_།  ཁམས  མེད་ན  ནི་ལ 
