 བྱ ་ཁྱབ 						བྱ	་ཁྱབ 	།_། 	སེམས 	གྲོལ 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     བྱ ་ཁྱབ  །_།  སེམས  གྲོལ  ཁྱོད་ལ 
བཤད  བྱ ་དང 	འཚལ་ལོ 	།_། 	གནས་དང 	གནས་པ 	བཤད 	བྱ	་དང 	།_། 	ཚིག་དང 	ཤེས་པ 	སྟོན་པ་ལ 	bstod tshogs ka_.txt	འཚལ་ལོ  །_།  གནས་དང  གནས་པ  བཤད  བྱ ་དང  །_།  ཚིག་དང  ཤེས་པ  སྟོན་པ་ལ 
 བྱ ུང 						བྱ	ུང 	སེམས་ཅན་ལ 	།_། 	ལེགས 	འདོམས 	bstod tshogs ka_.txt	     བྱ ུང  སེམས་ཅན་ལ  །_།  ལེགས  འདོམས 
 བྱ ུང 						བྱ	ུང 	ཐེག་པ 	ཆེན་པོ་ལ 	།_། 	སེམས 	bstod tshogs ka_.txt	     བྱ ུང  ཐེག་པ  ཆེན་པོ་ལ  །_།  སེམས 
བགེགས  བྱ ེད 	སྤངས་པ་དང 	།_། 	ངེས 	འབྱུང 	བགེགས 	བྱ	ེད 	སྟོན 	མཛད་པ 	།_། 	བདག 	bstod tshogs ka_.txt	སྤངས་པ་དང  །_།  ངེས  འབྱུང  བགེགས  བྱ ེད  སྟོན  མཛད་པ  །_།  བདག 
།_།  བྱ ང 	མཆོག 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	བྱ	ང 	ཆུབ 	ཆེན་པོ 	-འི 	རྣམ་པ་ཀུན 	bstod tshogs ka_.txt	མཆོག  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  བྱ ང  ཆུབ  ཆེན་པོ  -འི  རྣམ་པ་ཀུན 
 བྱ ིངས་སུ 						བྱ	ིངས་སུ 	བསྟོད་པ 	།༄༅།_། 	རྒྱ 	གར 	bstod tshogs ka_.txt	     བྱ ིངས་སུ  བསྟོད་པ  །༄༅།_།  རྒྱ  གར 
 བྱ ིངས་སུ 						བྱ	ིངས་སུ 	བསྟོད་པ 	།_ 	འཕགས་པ 	འཇམ་དཔལ་གཞོན 	bstod tshogs ka_.txt	     བྱ ིངས་སུ  བསྟོད་པ  །_  འཕགས་པ  འཇམ་དཔལ་གཞོན 
 བྱ ིངས་ལ 						བྱ	ིངས་ལ 	ཕྱག 	འཚལ་འདུད 	།_། 	གང་ཞིག 	bstod tshogs ka_.txt	     བྱ ིངས་ལ  ཕྱག  འཚལ་འདུད  །_།  གང་ཞིག 
སྦྱང་བ  བྱ ས་པ་ལས 	གྱུར་པ 	།_། 	དེ 	ཉིད 	སྦྱང་བ 	བྱ	ས་པ་ལས 	།_། 	དག་པ 	དེ་ཉིད 	མྱ་ངན་འདས 	bstod tshogs ka_.txt	གྱུར་པ  །_།  དེ  ཉིད  སྦྱང་བ  བྱ ས་པ་ལས  །_།  དག་པ  དེ་ཉིད  མྱ་ངན་འདས 
 བྱ ིངས་ཀྱང 						བྱ	ིངས་ཀྱང 	མི 	མཐོང་ངོ 	_།_། 	ཇི་ལྟར 	bstod tshogs ka_.txt	     བྱ ིངས་ཀྱང  མི  མཐོང་ངོ  _།_།  ཇི་ལྟར 
 བྱ ིངས 						བྱ	ིངས 	ཤིན་ཏུ 	དྲི་མེད་འགྱུར 	།_། 	ཇི 	bstod tshogs ka_.txt	     བྱ ིངས  ཤིན་ཏུ  དྲི་མེད་འགྱུར  །_།  ཇི 
 བྱ ིངས་ཀྱང 						བྱ	ིངས་ཀྱང 	མི 	མཐོང་ངོ 	_།_། 	ཕྱོགས་ནི 	bstod tshogs ka_.txt	     བྱ ིངས་ཀྱང  མི  མཐོང་ངོ  _།_།  ཕྱོགས་ནི 
 བྱ ུང་བ 						བྱ	ུང་བ 	-ར་འགྱུར 	།_། 	གང 	ཚེ 	bstod tshogs ka_.txt	     བྱ ུང་བ  -ར་འགྱུར  །_།  གང  ཚེ 
 བྱ ེད 						བྱ	ེད 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ནི 	སྐྱེ 	bstod tshogs ka_.txt	     བྱ ེད  །_།  ཆོས་ཀྱི  དབྱིངས་ནི  སྐྱེ 
 བྱ ིངས 						བྱ	ིངས 	ཤིན་ཏུ 	དྲི་མེད་པ 	-འང 	_།_། 	bstod tshogs ka_.txt	     བྱ ིངས  ཤིན་ཏུ  དྲི་མེད་པ  -འང  _།_། 
-ས  བྱ ས་པས 	།_། 	ཁམས 	ཡོད་ན 	ནི་ལ 	-ས 	བྱ	ས་པས 	།_། 	ས 	ལེ 	སྦྲམ 	bstod tshogs ka_.txt	།_།  ཁམས  ཡོད་ན  ནི་ལ  -ས  བྱ ས་པས  །_།  ས  ལེ  སྦྲམ 
-ས  བྱ ས་ན 	།_། 	ཁམས 	མེད་ན 	ནི་ལ 	-ས 	བྱ	ས་ན 	།_། 	ཉོན་མོངས 	འབའ་ཞིག 	བསྐྱེད་པ 	bstod tshogs ka_.txt	།_།  ཁམས  མེད་ན  ནི་ལ  -ས  བྱ ས་ན  །_།  ཉོན་མོངས  འབའ་ཞིག  བསྐྱེད་པ 
-ར  བྱ ེད་ཀྱང 	།_། 	འཇིག 	རྟེན་ན་ནི 	དཔེ 	-ར 	བྱ	ེད་ཀྱང 	།_། 	དེ་ཡི 	འབྲས་བུ 	སྙིང་པོ་ཉིད 	bstod tshogs ka_.txt	།_།  འཇིག  རྟེན་ན་ནི  དཔེ  -ར  བྱ ེད་ཀྱང  །_།  དེ་ཡི  འབྲས་བུ  སྙིང་པོ་ཉིད 
