།_  དེ  བཞིན 	ཐུན་མོང 	མ་ཡིན་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	བཞིན 	གཤེགས་པ 	ཐམས་ཅད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	ཐུན་མོང  མ་ཡིན་པ  ལ  བསྟོད་པ  །_  དེ  བཞིན  གཤེགས་པ  ཐམས་ཅད་ལ  ཕྱག  འཚལ་ལོ 
 དེ ་བ་ཅན 						དེ	་བ་ཅན 	།_། 	དགོངས་པ 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     དེ ་བ་ཅན  །_།  དགོངས་པ  ཁྱོད་ལ  ཕྱག 
ཞུ་དང  དེ ་དག་གི 	ཕྱག 	འཚལ་ལོ 	།_། 	ཆེད་དུ 	ཞུ་དང 	དེ	་དག་གི 	།_། 	ཚིག་དང 	སྤྱོད 	མཁྱེན 	bstod tshogs ka_.txt	ཕྱག  འཚལ་ལོ  །_།  ཆེད་དུ  ཞུ་དང  དེ ་དག་གི  །_།  ཚིག་དང  སྤྱོད  མཁྱེན 
།_།  དེ  ཉིད 	-འི 	རྒྱུ 	-ར 	གྱུར་པ 	།_། 	དེ 	ཉིད 	སྦྱང་བ 	བྱས་པ་ལས 	།_། 	དག་པ 	bstod tshogs ka_.txt	-འི  རྒྱུ  -ར  གྱུར་པ  །_།  དེ  ཉིད  སྦྱང་བ  བྱས་པ་ལས  །_།  དག་པ 
སྐུ་ཡང  དེ ་ཉིད་དོ 	དེ་ཉིད 	མྱ་ངན་འདས 	།_། 	ཆོས་ཀྱི 	སྐུ་ཡང 	དེ	་ཉིད་དོ 	།_། 	ཇི 	ལྟར 	འོ་མ་དང 	bstod tshogs ka_.txt	དེ་ཉིད  མྱ་ངན་འདས  །_།  ཆོས་ཀྱི  སྐུ་ཡང  དེ ་ཉིད་དོ  །_།  ཇི  ལྟར  འོ་མ་དང 
།_།  དེ  བཞིན 	མར་གྱི 	སྙིང་པོ 	མི 	སྣང་བ 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་དང 	འདྲེས་པས 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	མར་གྱི  སྙིང་པོ  མི  སྣང་བ  །_།  དེ  བཞིན  ཉོན་མོངས་དང  འདྲེས་པས  །_།  ཆོས་ཀྱི 
།_།  དེ  བཞིན 	།_། 	མར་གྱི 	སྙིང་པོ 	དྲི་མེད་འགྱུར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་རྣམ 	སྦྱངས་པས 	།_། 	ཆོས 	bstod tshogs ka_.txt	།_།  མར་གྱི  སྙིང་པོ  དྲི་མེད་འགྱུར  །_།  དེ  བཞིན  ཉོན་མོངས་རྣམ  སྦྱངས་པས  །_།  ཆོས 
།_།  དེ  བཞིན 	སྣང་བ 	-ར 	མི 	འགྱུར་བ 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་བུམ 	ནང་གནས 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	སྣང་བ  -ར  མི  འགྱུར་བ  །_།  དེ  བཞིན  ཉོན་མོངས་བུམ  ནང་གནས  །_།  ཆོས་ཀྱི 
།_།  དེ ་དང་དེ་ཡི 	བུམ་པ 	བུ་ག 	བཏོད 	གྱུར་པ 	།_། 	དེ	་དང་དེ་ཡི 	ཕྱོགས 	ཉིད་ནས 	།_། 	འོད་ཀྱི 	bstod tshogs ka_.txt	བུམ་པ  བུ་ག  བཏོད  གྱུར་པ  །_།  དེ ་དང་དེ་ཡི  ཕྱོགས  ཉིད་ནས  །_།  འོད་ཀྱི 
།_།  དེ  ཚེ་དེ་ནི 	།_། 	བུམ་པ་དེ་ནི 	བཅག 	གྱུར་པ 	།_། 	དེ 	ཚེ་དེ་ནི 	ནམ་མཁའ་ཡི 	།_། 	མཐར 	ཐུག 	bstod tshogs ka_.txt	།_།  བུམ་པ་དེ་ནི  བཅག  གྱུར་པ  །_།  དེ  ཚེ་དེ་ནི  ནམ་མཁའ་ཡི  །_།  མཐར  ཐུག 
།_།  དེ ་ཡི 	རྡོ་ཡི 	ནང་ན 	གནས 	གྱུར་ན 	།_། 	དེ	་ཡི 	འོད་ནི 	གསལ 	མ་ཡིན 	།_། 	bstod tshogs ka_.txt	རྡོ་ཡི  ནང་ན  གནས  གྱུར་ན  །_།  དེ ་ཡི  འོད་ནི  གསལ  མ་ཡིན  །_། 
